FIPS,vaccgivenpercaptia,Hesitancy,dosewastedpercapita,vacc_complete,Census2019,vaccnum,UrbRur,demrep,demv,repv,mystate
1001,1.2250443,0.17,0.40926095,92.5,55869,25397,3,Republican,7503,19838,AL
1003,1.43942679,0.15,0.36786511,92.5,223234,117426,4,Republican,24578,83544,AL
1005,1.240379162,0.17,0.439844446,92.5,24686,11581,6,Republican,4816,5622,AL
1007,0.972581942,0.18,1.090783246,92.5,22394,8064,2,Republican,1986,7525,AL
1009,0.859198285,0.19,0.723757479,92.5,57826,18869,2,Republican,2640,24711,AL
1011,1.54004554,0.17,3.915156915,92.5,10101,5674,6,Democrate,3446,1146,AL
1013,1.084018922,0.18,0.271955985,92.5,19448,7870,6,Republican,3965,5458,AL
1015,1.294810968,0.18,0.38905858,92.5,113605,54983,4,Republican,15216,35101,AL
1017,0.881518013,0.18,1.27097492,92.5,33254,10927,5,Republican,6365,8753,AL
1019,0.859253321,0.18,0.810123683,92.5,26196,8328,6,Republican,1624,10583,AL
1021,0.975668497,0.18,0.441410822,92.5,44428,16537,2,Republican,3073,16085,AL
1023,1.846532687,0.17,0.073476845,92.5,12589,8553,6,Republican,3127,4296,AL
1025,1.401447803,0.17,0.663745661,92.5,23622,12271,6,Republican,5755,7324,AL
1027,1.132602947,0.18,0.994182093,92.5,13235,5713,6,Republican,1267,5601,AL
1029,0.769550637,0.18,0,92.5,14910,4383,6,Republican,675,6484,AL
1031,1.280673264,0.18,0.454415192,92.5,52342,25300,5,Republican,5076,16899,AL
1033,1.298745497,0.17,0.436360674,92.5,55241,27073,4,Republican,8343,19203,AL
1035,1.211485871,0.17,2.217535427,92.5,12067,5424,6,Republican,2966,3442,AL
1037,1.122104473,0.18,2.176123042,92.5,10663,4443,5,Republican,1796,3631,AL
1039,1.015519987,0.18,0.223028962,92.5,37049,14380,6,Republican,2721,14586,AL
1041,0.932689515,0.18,0,92.5,13772,4866,6,Republican,1700,4864,AL
1043,1.030465094,0.18,0.311073441,92.5,83768,32636,5,Republican,4478,36880,AL
1045,1.266432116,0.18,0.227670219,92.5,49172,24118,5,Republican,5170,14303,AL
1047,1.301645338,0,0,92.5,37196,17362,5,Democrate,12230,5524,AL
1049,0.932949254,0.19,0.159020038,92.5,71513,24905,6,Republican,4281,24767,AL
1051,1.269551404,0.17,0.287825241,92.5,81209,38816,3,Republican,10367,30164,AL
1053,1.011164797,0,0,92.5,36633,13745,6,Republican,4918,10869,AL
1055,1.125523135,0.18,0.07407009,92.5,102268,43044,4,Republican,11567,35528,AL
1057,0.941847626,0.19,0.439516624,92.5,16302,5859,6,Republican,1395,7300,AL
1059,1.173394554,0.17,0.313596072,92.5,31362,14059,6,Republican,2086,10376,AL
1061,1.079136691,0.18,1.114765331,92.5,26271,10790,4,Republican,1595,10848,AL
1063,1.505116508,0.18,0.255702133,92.5,8111,4244,6,Democrate,3884,875,AL
1065,1.698314108,0.18,0.17732578,92.5,14651,9173,4,Democrate,4687,3190,AL
1067,1.225050857,0.18,0,92.5,17205,7964,4,Republican,2606,6607,AL
1069,1.17038779,0.18,0,92.5,105882,46932,4,Republican,12917,32618,AL
1071,1.371498857,0.19,0.161139736,92.5,51626,26172,5,Republican,3717,19670,AL
